"Name","Email","Phone Number","Gender","Age","Date","Flight","Departure Time","ETA","Boarding Pass","Price"
"Jim Doe","doeman@gmail.com","1234568790","Male","25","2022-04-23","Atlanta (ATL) to Ft. Lauderdale (FLL)","0900","11","45963","186.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","25","2022-04-22","Atlanta (ATL) to New York (LGA)","0900","45","90083","537.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","25","2022-04-22","Atlanta (ATL) to New York (LGA)","0600","42","59077","537.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-22","Denver (DEN) to Los Angeles (LAX)","0900","41","32303","531.79"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-29","Las Vegas (LAS) to Los Angeles (LAX)","0900","18","89388","118.4"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-22","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","14","86029","186.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-29","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","140","4566","186.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Female","26","2022-04-22","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","1400","92488","139.5"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-22","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","1400","34030","186.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","26","2022-04-26","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","1400","15438","186.0"
"Joe Dirt","dirtman@gmail.com","1234567890","Female","58","2022-04-23","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","1400","49856","139.5"
"Joe Dirt","dirtman@gmail.com","1234567890","Male","59","2022-04-22","Atlanta (ATL) to Ft. Lauderdale (FLL)","1200","1400","74992","186.0"
